Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
UK Research and Innovation,https://www.crunchbase.com/organization/uk-research-and-innovation,65,3,"Swindon, Wiltshire, United Kingdom",UKRI intends to be an outstanding organisation that ensures the UK maintains its world leading position in research and innovation.,Government Office,Grant,56,"7,451"
Old College Capital,https://www.crunchbase.com/organization/old-college-capital,63,1,"Edinburgh, Edinburgh, City of, United Kingdom",Old College Capital is the venture investment arm of the University of Edinburgh providing growth and development finance into start-ups.,"University Program, Venture Capital",,3,"7,426"
Ohio Department of Transportation,https://www.crunchbase.com/organization/ohio-department-of-transportation,1,,"Columbus, Ohio, United States",Ohio Department of Transportation is responsible for maintaining one of the largest transportation networks in the nation.,Government Office,,1,"7,361"
Wisconsin Economic Development Corporation (WEDC),https://www.crunchbase.com/organization/wisconsin-economic-development-corporation-wedc,40,1,"Madison, Wisconsin, United States",The Wisconsin Economic Development Corporation fosters cooperation to support sustainable business growth and job creation in Wisconsin.,Government Office,Grant,30,"7,318"
The Central Indiana Corporate Partnership,https://www.crunchbase.com/organization/the-central-indiana-corporate-partnership,,,"Indianapolis, Indiana, United States","CICP focuses on strategic economic issues like human capital, entrepreneurship and innovation, and business climate.",Government Office,,,"7,314"
Texas Workforce Commision,https://www.crunchbase.com/organization/texas-workforce-commision,30,,"Austin, Texas, United States",Texas Workforce Commission specializes in providing workforce development services to employers and job seekers.,Government Office,Grant,27,"7,258"
Life Sciences Greenhouse of Pennsylvania,https://www.crunchbase.com/organization/life-sciences-greenhouse-of-pennsylvania,18,2,"Harrisburg, Pennsylvania, United States","LSGPA partners with a range of institutions, including local research universities, colleges, medical centers, economic development","Government Office, Incubator",Early Stage Venture,9,"7,250"
PMV,https://www.crunchbase.com/organization/pmv-eu,109,17,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",PMV is a private equity firm that implements projects that are important for prosperity and well-being.,"Government Office, Venture Capital",Early Stage Venture,27,"7,244"
Innova Memphis,https://www.crunchbase.com/organization/innova-memphis,315,9,"Memphis, Tennessee, United States","Innova Memphis invests in early stage businesses related to biosciences, healthcare, technology, and AgTech.","Government Office, Micro VC, Venture Capital","Early Stage Venture, Seed",65,"7,205"
The Atmospheric Fund (TAF),https://www.crunchbase.com/organization/the-atmospheric-fund-taf,2,,"Toronto, Ontario, Canada",The Atmospheric Fund (TAF) is a regional climate agency that invests in low-carbon solutions in the Greater Toronto and Hamilton Area,Government Office,,,"7,199"
UTEC - The University of Tokyo Edge Capital Partners,https://www.crunchbase.com/organization/utec,164,19,"Tokyo, Tokyo, Japan","UTEC is an early-stage VC firm associated with academic institutes such as The University of Tokyo, investing in global deep-tech startups.","University Program, Venture Capital","Early Stage Venture, Seed",65,"7,116"
New Jersey Department of Labor and Workforce Development,https://www.crunchbase.com/organization/new-jersey-department-of-labor-and-workforce-development,1,,"Trenton, New Jersey, United States",New Jersey Department of Labor and Workforce Development is a governmental agency.,Government Office,,1,"7,113"
Seneca College,https://www.crunchbase.com/organization/seneca-college,3,,"Toronto, Ontario, Canada","Seneca is located in Toronto Ontario, Canada.",University Program,,,"7,077"
Centech,https://www.crunchbase.com/organization/centech,75,4,"Montréal, Quebec, Canada",Centech assists tech startups with high growth potential to scale their company.,"Accelerator, Entrepreneurship Program, University Program","Grant, Non Equity Assistance",73,"7,020"
Hebrew University of Jerusalem,https://www.crunchbase.com/organization/hebrew-university-of-jerusalem,3,,"Jerusalem, Yerushalayim, Israel",Hebrew University of Jerusalem is an academic and research institution that offer a diverse array of educational courses.,University Program,,1,"6,954"
University of Leeds,https://www.crunchbase.com/organization/university-of-leeds-england,1,,"Leeds, Leeds, United Kingdom",The University of Leeds is Yorkshire's oldest and largest university,University Program,,1,"6,937"
New Jersey State Department of Health,https://www.crunchbase.com/organization/new-jersey-state-department-of-health,,,"Trenton, New Jersey, United States",The New Jersey Department of Health is a nationally accredited state public health agency.,Government Office,,,"6,925"
Government of Newfoundland and Labrador,https://www.crunchbase.com/organization/government-of-newfoundland-and-labrador,17,1,"St. John's, Newfoundland, Canada",Support the development and growth of the Corporation in Newfoundland and Labrador. ,Government Office,,9,"6,886"
Georgia State University,https://www.crunchbase.com/organization/georgia-state-university,2,,"Atlanta, Georgia, United States",Georgia State University is a public research university offering undergraduate and graduate degree programs across eight academic colleges.,University Program,,1,"6,839"
Indiana State Department of Agriculture,https://www.crunchbase.com/organization/indiana-state-department-of-agriculture,10,,"Indianapolis, Indiana, United States","Indiana agriculture will lead the world in innovation and commercialization for the production of food, fuel, and fibre.",Government Office,,10,"6,809"
Slater Technology Fund,https://www.crunchbase.com/organization/slater-technology-fund,47,8,"Providence, Rhode Island, United States",Slater Technology Fund is a venture capital firm investing in technology-based startup companies across multiple sectors.,"Government Office, Incubator","Early Stage Venture, Late Stage Venture, Seed",15,"6,781"
NYSERDA,https://www.crunchbase.com/organization/nyserda,"1,021",101,"Albany, New York, United States","NYSERDA offers solution to increase energy efficiency, save money, use renewable energy, and reduce reliance on fossil fuels.",Government Office,"Early Stage Venture, Grant, Non Equity Assistance, Seed",16,"6,772"
University of Sheffield,https://www.crunchbase.com/organization/university-of-sheffield,,,"Sheffield, Sheffield, United Kingdom","University of Sheffield is an educational institution that offers graduate, master's, and online courses.",University Program,,,"6,744"
xIoTz Private Limited,https://www.crunchbase.com/organization/xiotz,,,"Bangalore, Karnataka, India",xIoTz is the creation of outstanding professional hackers from a variety of fields.,"Accelerator, Entrepreneurship Program, Government Office, Incubator, Startup Competition","Grant, Seed",,"6,707"
Maryland Department of Commerce,https://www.crunchbase.com/organization/maryland-department-of-commerce,1,,"Baltimore, Maryland, United States",Maryland Department of Commerce is a government agency.,Government Office,,1,"6,691"
Federal Polytechnic School of Lausanne,https://www.crunchbase.com/organization/epfl,16,,"Lausanne, Vaud, Switzerland","EPFL is a cosmopolitan technical university in Europe with students, professors, and staff from over 120 nations.",University Program,,8,"6,684"
New Jersey Department of Environmental Protection,https://www.crunchbase.com/organization/new-jersey-department-of-environmental-protection,1,1,"Trenton, New Jersey, United States",DEP makes New Jersey a stronger and more equitable state by preserving environment and public health.,Government Office,,,"6,654"
Department of Health Care Access and Information,https://www.crunchbase.com/organization/department-of-health-care-access-and-information,4,,"Sacramento, California, United States",HCAI is committed to expanding equitable access to health care for all Californians.,Government Office,,4,"6,642"
SBRI Healthcare,https://www.crunchbase.com/organization/sbri-healthcare,339,19,"Cambridge, Cambridgeshire, United Kingdom","SBRI Healthcare is NHS England funded initiative, led by the AHSNs.",Government Office,,310,"6,633"
Zürcher Kantonal Bank,https://www.crunchbase.com/organization/zürcher-kantonalbank,150,11,"Zürich, Zurich, Switzerland","Zürcher Kantonalbank - as an independent, incorporated public-law institution - is wholly owned by the canton of Zurich.",Government Office,,21,"6,602"
U.S. Department of Transportation,https://www.crunchbase.com/organization/u-s-department-of-transportation,50,,"Washington, District of Columbia, United States",The U.S. Department of Transportation is a Federal organization of oversight of the motor vehicle and infrastructure in the United States.,Government Office,,48,"6,598"
Chase,https://www.crunchbase.com/organization/chase,7,3,"New York, New York, United States",Chase prvoides broad range of financial services.,Government Office,,3,"6,586"
Ryerson University,https://www.crunchbase.com/organization/ryerson-university,14,1,"Toronto, Ontario, Canada","Ryerson University is a university located in downtown Toronto, Ontario.",University Program,,2,"6,577"
University of Central Florida,https://www.crunchbase.com/organization/university-of-central-florida,2,,"Orlando, Florida, United States","University of Central Florida is an American public research university in Orlando, Forida.",University Program,,,"6,542"
Queen's University,https://www.crunchbase.com/organization/queens-university,11,2,"Kingston, Ontario, Canada",Queen's University is a higher education institution offering a research-intensive environment.,University Program,,,"6,537"
Empire State Development,https://www.crunchbase.com/organization/empire-state-development-4caa,11,2,"New York, New York, United States",Empire State Development (ESD) is New York’s chief economic development agency.,Government Office,,7,"6,416"
DePaul University,https://www.crunchbase.com/organization/depaul-university,,,"Chicago, Illinois, United States","DePaul University, located in Chicago, IL, is recognized for its challenging curriculum, its diverse student body, and national prominence.",University Program,,,"6,403"
Massachusetts Life Sciences Center,https://www.crunchbase.com/organization/massachusetts-life-sciences-center,163,12,"Waltham, Massachusetts, United States",The Massachusetts Life Sciences Center (MLSC) aims to create jobs in the life sciences and support vital scientific research.,Government Office,"Debt, Early Stage Venture, Grant",146,"6,373"
Australian Renewable Energy Agency,https://www.crunchbase.com/organization/australian-renewable-energy-agency,14,7,"Canberra, Australian Capital Territory, Australia","On 10 July 2011 the Australian Government announced the establishment of the Australian Renewable Energy Agency (ARENA), as a part of its",Government Office,,9,"6,323"
NEOM,https://www.crunchbase.com/organization/neom-585e,6,1,"Riyadh, Ar Riyad, Saudi Arabia","NEOM is a government administration firm that offers economic growth, progressive laws, a healthy foundation and innovative solution.",Government Office,,4,"6,286"
The University of Texas System,https://www.crunchbase.com/organization/the-university-of-texas-system,2,2,"Austin, Texas, United States","The University of Texas System is to improving the people all over the world through education, research and health care.",University Program,,1,"6,253"
Greater Manchester Combined Authority,https://www.crunchbase.com/organization/greater-manchester-combined-authority,15,,"Manchester, Manchester, United Kingdom",Greater Manchester Combined Authority is the combined authority of Greater Manchester,Government Office,,9,"6,176"
Yonsei University,https://www.crunchbase.com/organization/yonsei-university,9,,"Seoul, Seoul-t'ukpyolsi, South Korea","Yonsei University is a oldest private university in Korea, Yonsei University was first established in 1885 by Christian missionaries.",University Program,,1,"6,145"
Marquette University,https://www.crunchbase.com/organization/marquette-university,2,,"Milwaukee, Wisconsin, United States","Marquette University (MU) is a large Catholic school located in Milwaukee, Wisconsin",University Program,,,"6,089"
NUS School of Computing,https://www.crunchbase.com/organization/nus-school-of-computing,2,,"Singapore, Central Region, Singapore",NUS School of Computing provides a stimulating environment that amalgamates the best of educational traditions.,University Program,,,"6,064"
Southern New Hampshire University,https://www.crunchbase.com/organization/southern-new-hampshire-university-2,1,,"Hooksett, New Hampshire, United States",Southern New Hampshire University is a school in Hooksett.,University Program,,1,"6,026"
Launch Tennessee,https://www.crunchbase.com/organization/launch-tennessee,142,15,"Nashville, Tennessee, United States",Launch Tennessee is a public-private partnership with a vision to make Tennessee the most startup-friendly state in the nation.,Government Office,"Early Stage Venture, Seed",34,"6,015"
New York State,https://www.crunchbase.com/organization/new-york-state,46,4,"New York, New York, United States","New York State is a diverse agency in state government that works to make New York a more welcoming, equitable, and prosperous place.",Government Office,,36,"5,994"
University of Maine,https://www.crunchbase.com/organization/university-of-maine,1,,"Orono, Maine, United States",UMaine is a public university with various graduate and undergraduate degree programs and research opportunities.,University Program,,,"5,962"
GUSEC,https://www.crunchbase.com/organization/gujarat-university-startup-and-entrepreneurship-council,1,,"Ahmedabad, Gujarat, India","Empowering, nurturing and supporting startups, entrepreneurs and innovators","Accelerator, Co-Working Space, Entrepreneurship Program, University Program","Early Stage Venture, Grant, Non Equity Assistance, Private Equity, Seed",,"5,939"
California State University,https://www.crunchbase.com/organization/california-state-university,2,,"Long Beach, California, United States",California State University is a public university system in California,University Program,Seed,,"5,926"
Health Resources and Services Administration,https://www.crunchbase.com/organization/health-resources-and-services-administration,45,,"Rockville, Maryland, United States",HRSA provides tens of millions of Americans access to affordable health care and other help.,Government Office,,44,"5,884"
Washington State University,https://www.crunchbase.com/organization/washington-state-university,3,1,"Pullman, Washington, United States","Washington State University is a school in Pullman, Washington.",University Program,,,"5,881"
University of Cincinnati,https://www.crunchbase.com/organization/university-of-cincinnati,3,,"Cincinnati, Ohio, United States",The University of Cincinnati offers students a balance of educational excellence and real-world experience.,University Program,,2,"5,867"
Bayern Kapital,https://www.crunchbase.com/organization/bayern-kapital,220,26,"Landshut, Bayern, Germany","Bayern Kapital is a venture capital company that offers finances for R&D, market launch of new products, and product diversification.","Government Office, Venture Capital","Early Stage Venture, Late Stage Venture, Seed",28,"5,857"
BIRD Foundation,https://www.crunchbase.com/organization/bird-foundation,47,3,"Herzliya, Tel Aviv, Israel",The BIRD Foundation works to encourage and facilitate cooperation between U.S. and Israeli companies and offers funding to selected projects,Government Office,Grant,35,"5,837"
Tufts University,https://www.crunchbase.com/organization/tufts-university,1,1,"Boston, Massachusetts, United States",Tufts is a private university that excels at research and is committed to providing students with a personal experience.,University Program,,,"5,802"
Rochester Institute of Technology,https://www.crunchbase.com/organization/rochester-institute-of-technology,2,,"Rochester, New York, United States",RIT is a collaborative community that provides a wide range of opportunities through creativity and innovation.,University Program,,,"5,757"
ConnectOne Bank,https://www.crunchbase.com/organization/connectone-bank,3,,"Englewood Cliffs, New Jersey, United States",ConnectOne Bank provides creative financial products and customized solutions.,Government Office,,2,"5,746"
Innosuisse,https://www.crunchbase.com/organization/innosuisse,154,7,"Berne, Bern, Switzerland",Innosuisse’s role is to promote science-based innovation in the interests of industry and society in Switzerland.,Government Office,,124,"5,712"
CREATE-X,https://www.crunchbase.com/organization/create-x,36,,"Atlanta, Georgia, United States",CREATE-X is a Georgia Tech initiative and accelerator for students to launch successful startups.,"Accelerator, Entrepreneurship Program, Incubator, University Program",Grant,1,"5,699"
In-Q-Tel,https://www.crunchbase.com/organization/in-q-tel,287,104,"Arlington, Virginia, United States",In-Q-Tel identifies and partners with companies developing cutting-edge technologies to help deliver solutions.,"Accelerator, Government Office","Debt, Early Stage Venture, Grant, Late Stage Venture, Seed",73,"5,539"
University of Delaware,https://www.crunchbase.com/organization/university-of-delaware,3,,"Newark, Delaware, United States","The University of Delaware is a private-public research university located in Newark, Delaware. UD is the largest university in Delaware",University Program,,1,"5,533"
"Department for Science, Innovation and Technology (DSIT)",https://www.crunchbase.com/organization/department-for-science-innovation-and-technology-dsit,15,1,"London, England, United Kingdom","DSIT is responsible for helping to encourage, develop and manage the UK's scientific, research, and technological outputs.",Government Office,,15,"5,518"
City of London,https://www.crunchbase.com/organization/city-of-london,3,1,"London, England, United Kingdom","City of London Corporation is a government body that provides economic, social, and community development services.",Government Office,,1,"5,478"
Oregon Health & Science University,https://www.crunchbase.com/organization/oregon-health-science-university,2,,"Portland, Oregon, United States","OHSU is a health and research university provides patient care, research, education of the next generation of health care.",University Program,,,"5,460"
Export and Investment Fund,https://www.crunchbase.com/organization/export-and-investment-fund,27,,"Hellerup, Hovedstaden, Denmark",Denmark's Export and Investment Fund (EIFO) serves as a single point of contact for Danish firms seeking risk-tolerant government finance.,Government Office,,12,"5,442"
Centre for Cellular and Molecular Platforms,https://www.crunchbase.com/organization/centre-for-cellular-and-molecular-platforms,4,,"Bangalore, Karnataka, India",Centre for Cellular and Molecular Platforms is an enabler or catalyst of cutting-edge research and innovation in the life sciences.,Government Office,,,"5,417"
University Hospitals,https://www.crunchbase.com/organization/university-hospitals,5,,"Cleveland, Ohio, United States","In 1993, University Hospitals developed a new vision, a new strategy and a new model for healthcare delivery.",University Program,,2,"5,355"
University of Utah,https://www.crunchbase.com/organization/university-of-utah,,,"Salt Lake City, Utah, United States","As Utah's flagship public institution, the university offers more than 100 undergraduate majors and 92 graduate degree programs.",University Program,,,"5,343"
Curtin University,https://www.crunchbase.com/organization/curtin-university,1,1,"Bentley, Western Australia, Australia","Curtin University is a public university based in Perth, Western Australia.",University Program,,,"5,328"
University of Massachusetts Medical School,https://www.crunchbase.com/organization/university-of-massachusetts-medical-school,,,"Worcester, Massachusetts, United States","UMMS was founded in 1962 to provide affordable, high-quality medical education to state residents and to increase the number of primary",University Program,,,"5,323"
University of Strathclyde,https://www.crunchbase.com/organization/university-of-strathclyde,17,1,"Glasgow, Glasgow City, United Kingdom","The University of Strathclyde is a scottish public research university located in Glasgow, Scotland.",University Program,,,"5,313"
IIFCL,https://www.crunchbase.com/organization/iifcl,1,,"New Delhi, Delhi, India",IIFCL is a wholly-owned Government of India company set up in 2006 to provide long-term finance to viable infrastructure projects.,Government Office,,,"5,299"
University of Glasgow,https://www.crunchbase.com/organization/university-of-glasgow,2,,"Glasgow, Glasgow City, United Kingdom","Founded in 1451, the University of Glasgow is the fourth oldest university in the English-speaking world.",University Program,,,"5,266"
Development Bank of Southern Africa (DBSA),https://www.crunchbase.com/organization/development-bank-of-southern-africa-dbsa,4,1,"Midrand, NA - South Africa, South Africa",DBSA is a development finance institution driving financial and non-financial investments in the social and economic infrastructure sectors.,Government Office,,2,"5,177"
Arch Grants,https://www.crunchbase.com/organization/arch-grants,191,8,"St Louis, Missouri, United States",Arch Grants accelerates economic development and community revitalization in St. Louis through entrepreneurship and philanthropy.,Government Office,"Grant, Seed",142,"5,161"
Export Development Canada,https://www.crunchbase.com/organization/export-development-canada,179,38,"Ottawa, Ontario, Canada",Export Development Canada supports Canada’s export trade by helping companies react to international business openings.,Government Office,"Debt, Private Equity",46,"5,151"
Missouri Technology Corporation,https://www.crunchbase.com/organization/missouri-technology-corporation,115,7,"Jefferson City, Missouri, United States",Missouri Technology Corporation is a venture capital firm that promotes entrepreneurship and the growth of high-tech companies.,Government Office,Seed,44,"5,145"
University at Buffalo,https://www.crunchbase.com/organization/university-at-buffalo,8,,"Buffalo, New York, United States","University at Buffalo is a premier, research-intensive public university and a member of the Association of American Universities",University Program,,4,"5,135"
Mekorot,https://www.crunchbase.com/organization/mekorot,1,,"Tel Aviv-jaffa, Tel Aviv, Israel","Mekorot - fully government-owned company, which is under the responsibility of the Ministry of Infrastructure, Energy and Water.",Government Office,,1,"5,130"
Lund University,https://www.crunchbase.com/organization/lund-university,6,,"Lund, Skane Lan, Sweden",Lund University is the strongest research university in Sweden and ranked among the world’s top 100 universities.,University Program,,,"5,001"
North Central Texas Council of Governments,https://www.crunchbase.com/organization/north-central-texas-council-of-governments,1,,"Arlington, Texas, United States","North Central Texas Council of Governments is a voluntary association of, by and for local governments.",Government Office,,1,"4,850"
The Export-Import Bank of Korea,https://www.crunchbase.com/organization/the-export-import-bank-of-korea,5,2,"Seoul, Seoul-t'ukpyolsi, South Korea",The Export-Import Bank of Korea is a provider of export credit and guarantee programs to support Korean enterprises conducting overseas.,Government Office,,3,"4,824"
North Carolina Biotechnology Center,https://www.crunchbase.com/organization/north-carolina-biotechnology-center,84,6,"Alexander, North Carolina, United States",North Carolina Biotechnology Center is a private company that works with university researchers in the field of biotechnology.,Government Office,,71,"4,782"
Stellenbosch University,https://www.crunchbase.com/organization/stellenbosch-university,3,,"Stellenbosch, NA - South Africa, South Africa",Stellenbosch University is one of the four top research universities in South Africa.,University Program,,,"4,782"
Center of Aging and Brain Health Innovation,https://www.crunchbase.com/organization/center-of-aging-and-brain-health-innovation-cabhi,24,,"Toronto, Ontario, Canada",Center of Aging and Brain Health Innovation is a service center that supports aging and brain health sector.,"Accelerator, Government Office",,13,"4,780"
King's College London,https://www.crunchbase.com/organization/kings-college-london,1,1,"London, England, United Kingdom","King's College London is dedicated to the advancement of knowledge, learning and understanding in the service of society.",University Program,,,"4,744"
"University of California, Santa Barbara",https://www.crunchbase.com/organization/university-of-california-santa-barbara,4,,"Santa Barbara, California, United States","UC Santa Barbara is a leading center for teaching and research, distinguished by its interdisciplinary programs.",University Program,,1,"4,702"
McMaster University,https://www.crunchbase.com/organization/mcmaster-university,5,1,"Hamilton, Ontario, Canada","McMaster University is a public research university in Hamilton, Ontario, Canada.",University Program,,,"4,669"
Santa Clara University,https://www.crunchbase.com/organization/santa-clara-university,1,1,"Santa Clara, California, United States",Jesuit University in Silicon Valley,University Program,,,"4,614"
Polsky Center for Entrepreneurship and Innovation,https://www.crunchbase.com/organization/polsky-center-for-entrepreneurship-and-innovation-accelerator-program,31,2,"Chicago, Illinois, United States",The Polsky Center for Entrepreneurship and Innovation is a university that drives venture creation and technology commercialization.,University Program,"Early Stage Venture, Non Equity Assistance, Seed",7,"4,598"
University of Manchester,https://www.crunchbase.com/organization/university-of-manchester,3,1,"Manchester, Manchester, United Kingdom","The University of Manchester is a large research university situated in the city of Manchester, England.",University Program,,,"4,575"
Oregon State University,https://www.crunchbase.com/organization/oregon-state-university,2,,"Corvallis, Oregon, United States","Oregon State University is a coeducational, public research university in the northwest United States, located in Corvallis, Oregon",University Program,,,"4,489"
The University of Texas at Austin,https://www.crunchbase.com/organization/the-university-of-texas-at-austin,8,1,"Austin, Texas, United States",The University of Texas at Austin is a public research university providing public access to education and tools of discovery.,University Program,,1,"4,409"
BOM,https://www.crunchbase.com/organization/brabantse-ontwikkelings-maatschappij-bom,116,11,"Tilburg, Noord-Brabant, The Netherlands","BOM invests in innovative start-up and growth companies, to improve the economic structure in the province of Brabant.","Government Office, Venture Capital","Debt, Early Stage Venture, Private Equity, Seed",26,"4,388"
Canada Pension Plan Investment Board,https://www.crunchbase.com/organization/canada-pension-plan-investment-board,220,112,"Toronto, Ontario, Canada",Canada Pension Plan Investment Board invests in the contributors and beneficiaries to maximize investment returns.,"Government Office, Venture Debt",Debt,52,"4,358"
University of Bristol,https://www.crunchbase.com/organization/university-of-bristol,3,1,"Bristol, Bristol, City of, United Kingdom","University of Bristol is educational institute to offers different courses to students, research projects,and jobs.",University Program,,1,"4,339"
Connecticut Innovations,https://www.crunchbase.com/organization/connecticut-innovations,310,47,"Rocky Hill, Connecticut, United States",Connecticut Innovations provides strategic capital and operational insight to to companies in high-tech industries,Government Office,"Debt, Early Stage Venture, Grant, Late Stage Venture, Seed",101,"4,325"
Technion - Israel Institute of Technology,https://www.crunchbase.com/organization/technion-israel-institute-of-technology,7,,"Haifa, Hefa, Israel",Technion - Israel Institute of Technology is a public research university.,University Program,,1,"4,321"
China Electronics Corporation,https://www.crunchbase.com/organization/china-electronics-corporation-cec,9,1,"Shenzhen, Guangdong, China",China Electronics Corporation is a state-owned conglomerate that administrates well-known Chinese IT companies.,Government Office,,4,"4,275"
U.S. Department of Defense,https://www.crunchbase.com/organization/u-s-department-of-defense,174,55,"Washington, District of Columbia, United States",U.S. Department of Defense aims to provide the military forces needed to deter war and protect the security of the country.,Government Office,,135,"4,259"
University of Arkansas for Medical Sciences,https://www.crunchbase.com/organization/university-of-arkansas-for-medical-sciences-2,,,"Little Rock, Arkansas, United States",University of Arkansas for Medical Sciences is a school in Little Rock.,University Program,,,"4,214"
Ben Franklin Technology Partners of Northeastern Pennsylvania,https://www.crunchbase.com/organization/ben-franklin-technology-partners-of-northeast-pennsylvania,252,12,"Bethlehem, Pennsylvania, United States",The Ben Franklin Technology Partners of Northeastern Pennsylvania (BFTP/NEP) is part of a state-funded economic development initiative.,Government Office,"Debt, Early Stage Venture, Grant, Late Stage Venture, Seed",71,"4,210"
Buffalo Innovation Seed Fund,https://www.crunchbase.com/organization/buffalo-innovation-seed-fund,34,,"Buffalo, New York, United States","Buffalo Innovation Seed Fund (BISF) is a $10 million early-stage, evergreen venture capital fund.","University Program, Venture Capital","Early Stage Venture, Seed",,"4,187"
Boston University,https://www.crunchbase.com/organization/boston-university,13,5,"Boston, Massachusetts, United States","Boston University is an international, comprehensive, private research university, committed to educating students.",University Program,,1,"4,145"
KfW,https://www.crunchbase.com/organization/kfw,180,48,"Frankfurt, Hessen, Germany",KfW operates as the promotional bank of the Federal Republic of Germany that engages in the financing of corporate investments.,"Government Office, Investment Bank, Venture Capital","Debt, Early Stage Venture, Late Stage Venture, Seed",19,"4,132"
Kresge Foundation,https://www.crunchbase.com/organization/kresge-foundation,56,4,"Much, Nordrhein-Westfalen, Germany","The Kresge Foundation are grantmakers and investors in the arts and culture, education, environment, health, and community development.",Government Office,,38,"4,121"
United States Agency for International Development,https://www.crunchbase.com/organization/usaid,67,1,"Washington, District of Columbia, United States","To end extreme poverty and to promote resilient, democratic societies while advancing security and prosperity.",Government Office,,46,"4,105"
Simon Fraser University,https://www.crunchbase.com/organization/simon-fraser-university,2,,"Burnaby, British Columbia, Canada","Simon Fraser University is a public research university located in Burnaby, BC.",University Program,,1,"4,088"
Berkeley SkyDeck Fund,https://www.crunchbase.com/organization/berkeley-skydeck-fund,112,2,"Berkeley, California, United States",Berkeley SkyDeck Fund is an investment Arm Behind UC Berkeley's SkyDeck Accelerator.,"Accelerator, University Program, Venture Capital",Seed,11,"4,067"
NJEDA,https://www.crunchbase.com/organization/brennan-candito-corp,144,22,"Trenton, New Jersey, United States","NJEDA is a government entity assisting and giving access to capital, including tax-exempt and taxable bond financing.",Government Office,Early Stage Venture,131,"4,042"
Indian Overseas Bank,https://www.crunchbase.com/organization/indian-overseas-bank,3,,"Chennai, Tamil Nadu, India",Indian Overseas Bank is a company that specializes in merchant banking services.,Government Office,,2,"4,027"
Korea Development Bank,https://www.crunchbase.com/organization/korean-development-bank,163,8,"Seoul, Seoul-t'ukpyolsi, South Korea",Korea Development Bank is a state-owned bank in South Korea that funds major industrial projects.,"Government Office, Venture Capital",,31,"4,007"
IBB Ventures,https://www.crunchbase.com/organization/ibb,227,36,"Berlin, Berlin, Germany",IBB Ventures invests in technology-oriented companies and companies from the creative industries.,"Government Office, Venture Capital","Early Stage Venture, Seed",35,"3,991"
U.S. Department of Agriculture,https://www.crunchbase.com/organization/u-s-department-of-agriculture,431,12,"Washington, District of Columbia, United States","U.S. Department of Agriculture is  provider leadership on food, agriculture, natural resources, and related issues based.",Government Office,"Debt, Grant",411,"3,973"
Dorm Room Fund,https://www.crunchbase.com/organization/dorm-room-fund,207,26,"Philadelphia, Pennsylvania, United States",Dorm Room Fund is the strongest community of entrepreneurial students in the nation.,"Micro VC, University Program",Seed,7,"3,962"
University of Birmingham,https://www.crunchbase.com/organization/university-of-birmingham,6,,"Birmingham, Birmingham, United Kingdom",The University of Birmingham has been challenging and developing great minds for more than a century.,University Program,,,"3,934"
Root Capital,https://www.crunchbase.com/organization/root-capital,2,,"Cambridge, Massachusetts, United States",Root Capital invests in small and growing agricultural businesses that build sustainable livelihoods.,Government Office,,2,"3,932"
American Cancer Society,https://www.crunchbase.com/organization/american-cancer-society,5,,"Atlanta, Georgia, United States",American Cancer Society is a nationwide voluntary health organization dedicated to eliminate cancer in the United States.,Government Office,,3,"3,864"
University of Sherbrooke,https://www.crunchbase.com/organization/universit-de-sherbrooke,1,,"Sherbrooke, Quebec, Canada",University of Sherbrooke is a large public French-language university that provides higher education courses and programs.,University Program,,,"3,852"
Argonne National Laboratory,https://www.crunchbase.com/organization/argonne-national-laboratory,4,1,"Lemont, Illinois, United States","Argonne National Laboratory conducts researches in basic science, energy resources, and environmental management.",Government Office,,1,"3,840"
Rutgers University,https://www.crunchbase.com/organization/rutgers-university,,,"Albuquerque, New Mexico, United States",Rutgers University is an institution for higher education for doctoral and professional degree programs.,University Program,,,"3,825"
Gulf International Bank,https://www.crunchbase.com/organization/gulf-international-bank,3,2,"Manama, Al Manamah, Bahrain",Gulf International Bank offers a diverse range of financial products and services and banking solutions to a wide customer.,Government Office,,,"3,791"
University of Waterloo,https://www.crunchbase.com/organization/university-of-waterloo,13,1,"Waterloo, Ontario, Canada",University of Waterloo is a public research university that operates colleges which offer undergraduate and graduate programs.,University Program,,3,"3,735"
Wharton School of the University of Pennsylvania,https://www.crunchbase.com/organization/wharton-school-of-the-university-of-pennsylvania,5,,"Philadelphia, Pennsylvania, United States",Wharton School of the University of Pennsylvania is a business school driven to create economic and social value.,University Program,,1,"3,734"
Agorize,https://www.crunchbase.com/organization/agorize,,,"Paris, Ile-de-France, France",Agorize helps businesses to innovate and identify the best talent.,"Entrepreneurship Program, Startup Competition, University Program",Non Equity Assistance,,"3,684"
Missouri Department of Economic Development,https://www.crunchbase.com/organization/missouri-department-of-economic-development,19,1,"Jefferson City, Missouri, United States","Missouri Department of Economic Development offers health insurance, and retirement.",Government Office,,19,"3,624"
REC,https://www.crunchbase.com/organization/rec-0c9c,5,1,"New Delhi, Delhi, India",REC is an infrastructure finance company that operates in financing projects in the complete power sector value chain.,Government Office,,4,"3,541"
