Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
Snappy Fax Software,https://www.crunchbase.com/organization/snappy-fax-software,Software,"Port Saint Joe, Florida, United States",Snappy Fax is a fax application and document management system that supports faxing from multiple workstations on a network.,"3,201,621","East Coast, Southern US",Active,,,,,,,For Profit,https://www.snappysoftware.com/,,Software,,,,,,,,,,,,,
Colorado Container,https://www.crunchbase.com/organization/colorado-container,Manufacturing,"Denver, Colorado, United States",Colorado Container is a privately held company and a a corrugated products manufacturer.,"3,201,623","Greater Denver Area, Western US",Active,1963-01-01,year,2011-11-30,day,,,For Profit,,Colorado Container is a privately held company and a a corrugated products manufacturer.,Manufacturing,,,,M&A,,,,,,,,,
"Louis Tieu, DDS, MD Oral and maxillofacial surgery",https://www.crunchbase.com/organization/louis-tieu-dds-md-oral-and-maxillofacial-surgery,"Cosmetic Surgery, Dental, Health Care, Personal Health","Campbell, California, United States","Louis Tieu, DDS, MD Oral and maxillofacial surgery provides dental implants, bone grafting, and pre-prosthetic surgery services.","3,201,631","San Francisco Bay Area, Silicon Valley, West Coast",Active,,,,,,,For Profit,https://www.sbayoms.com,"Louis Tieu, DDS, MD Oral and maxillofacial surgery offers dental care services. Their services are dental implants, replacing missing teeth, an overview of implant placement, missing all upper or lower teeth, bone grafting for implants, implant-supported overdenture,teeth-in-an-hour, zygomatic implants, ceramic dental implants, after implant placement, cost of dental implants, bone grafting, wisdom teeth, tooth extractions, pre-prosthetic surgery, and oral pathology.",Health Care,,,,,,,,,,,,,
Commonwealth Coworking,https://www.crunchbase.com/organization/commonwealth-coworking,Consulting,"Palatka, Florida, United States",Commonwealth Coworking is to bring wealth home to America’s rural communities by connecting them to opportunity and prosperity.,"3,201,635","East Coast, Southern US",Active,2018-01-01,year,,,,,For Profit,http://www.commonwealthpalatka.com,,Professional Services,1,1-10,,,,,,,,,,,
Granby House,https://www.crunchbase.com/organization/granby-house,"Health Care, Health Diagnostics, Therapeutics","Granby, Missouri, United States","Granby House is a healthcare company that provides respite care, hospice, palliative, speech, physical, and occupational therapies.","3,201,637",Midwestern US,Active,1991-01-01,year,,,,,For Profit,https://www.granbyhouse.net,,Health Care,,11-50,,,,,,,,,,,
George T Baker Aviation School,https://www.crunchbase.com/organization/george-t-baker-aviation-school,,"Miami, Florida, United States",George T Baker Aviation School is a school in Miami.,"3,201,643","Greater Miami Area, East Coast, Southern US",Closed,1940-01-01,year,,,,none,For Profit,http://www.bakeraviation.edu/,"Situated right next door to Miami International Airport, George T. Baker is a great location for an aviation school. Its academics reflect its location as well, with comprehensive programs leading to entry-level careers as an avionics technician and an aircraft maintenance technician. Both of these programs combine theory and practice, so graduates have a full understanding of the subject as well as the skills to work in the field. The curricula are thorough, covering everything from basic lab and computer skills to advanced aviation equipment. George T. Baker Aviation School participates in a variety of government financial aid programs, such as the South Florida Workforce Grant and federal Pell grants. While the school does not offer any institutional scholarships, it lists on its website several scholarships funded by outside institutions and industry partners. The school’s admissions policy is to welcome all students with the desire and ability to succeed. In accordance with this policy, George T. Baker has minimal admissions requirements. Anyone who is at least 16 years old is eligible to apply. A high school diploma or GED is not required; the school’s main requirement is your ability to benefit from the education.",,,11-50,,,,,,,,,,,
Rystark,https://www.crunchbase.com/organization/rystark,"Marketing, Mobile Apps, Social Media, Web Design, Web Development, Web Hosting","Houston, Texas, United States","RyStark provides complete hosting solutions and web development, mobile app development, and social media marketing.","3,201,648","Greater Houston Area, Southern US",Active,,,,,,,For Profit,https://rystark.com/,,"Apps, Design, Internet Services, Media and Entertainment, Mobile, Sales and Marketing, Software",,,,,,,,,,,,,
REAL Insurance Solutions,https://www.crunchbase.com/organization/real-insurance-solutions,"Financial Services, Insurance, Risk Management","Lexington, Kentucky, United States","REAL Insurance Solutions specializes in auto, life, home, contractor, restaurant and business insurance services.","3,201,656",Southern US,Active,2018-01-01,year,,,,,For Profit,https://Www.getrealky.com,,"Financial Services, Professional Services",,1-10,,,,,,,,,,,
Casablanca Publishing,https://www.crunchbase.com/organization/casablanca-publishing,Publishing,"Atlanta, Georgia, United States",Casablanca Publishing is a publishing company.,"3,201,658","Greater Atlanta Area, East Coast, Southern US",Active,,,2005-04-11,day,,,For Profit,http://www.casablancapublishing.com,Casablanca Publishing is a publishing company.,"Content and Publishing, Media and Entertainment",,,,M&A,,,,,,,,,
Mixed Up Media,https://www.crunchbase.com/organization/mixed-up-media,"Advertising, Marketing","Austin, Texas, United States","Mixed Up Media is a website, marketing, and content services company.","3,201,666",Southern US,Active,,,,,,,For Profit,http://mixed-up-media.com/,,"Advertising, Sales and Marketing",,,,,,,,,,,,,
Calvert Home Living Jessica Adams Jems Team,https://www.crunchbase.com/organization/calvert-home-living-jessica-adams-jems-team,"Consulting, News, Real Estate","Dunkirk, Maryland, United States","Calvert Home Living Jessica Adams Jems Team is a real estate statistics, information, great deals & home listing company.","3,201,670","Washington DC Metro Area, East Coast, Southern US",Active,,,,,,,For Profit,http://www.jemshomes.com/,,"Content and Publishing, Media and Entertainment, Professional Services, Real Estate",,,,,,,,,,,,,
NLFVentures,https://www.crunchbase.com/organization/nlfventures,"Incubators, Mobile","Los Angeles, California, United States",Micro-VC fund investing in Women-founded startups.,"3,201,671","Greater Los Angeles Area, West Coast, Western US",Active,2014-01-01,year,,,,,For Profit,,NLFVentures is connecting great ideas with money.,"Financial Services, Lending and Investments, Mobile",1,,,,,,,,,,,,
JustReallyGood,https://www.crunchbase.com/organization/justreallygood,"Consulting, Professional Services, Social Media","Virginia, Minnesota, United States",JustReallyGood LLC is a privately held company dedicated to providing its clients with an integrated consumer strategy.,"3,201,674","Great Lakes, Midwestern US",Active,2009-01-01,year,,,,,For Profit,http://justreallygood.com,"Headquartered in Virginia, JustReallyGood LLC is a privately held company dedicated to providing its clients with an integrated consumer-centric strategy.  We create value to our clients by offering services related to brand advertising, direct response advertising, social media marketing, and search advertising.  Additionally, our emerging media team offers brand, short video, and music-related products.","Internet Services, Media and Entertainment, Other, Professional Services",,1-10,,,,,,,,,,,
Prism Insurance Advisors,https://www.crunchbase.com/organization/prism-insurance-advisors,"Health Care, Health Insurance, Insurance, Life Insurance","Boca Raton, Florida, United States","Prism Insurance Advisors offers health, life, disability, medical, and long term care insurance policies.","3,201,688","Greater Miami Area, East Coast, Southern US",Active,2010-01-01,year,,,,,For Profit,https://www.prisminsuranceadvisors.com,,"Financial Services, Health Care",,1-10,,,,,,,,,,,
Principle Software,https://www.crunchbase.com/organization/principle-software,"Computer, Software","Waltham, Massachusetts, United States",Principle Software  is a Provider of portal software.,"3,201,695","Greater Boston Area, East Coast, New England",Closed,,,,,,none,For Profit,https://www.principlesoftware.com,"Provider of portal software. The company engages offering a comprehensive and scalable platform that helps in developing and deploying services as well as offers implementation, documentation and training, enabling clients to receive customized development, analysis and consulting from certified professionals.","Consumer Electronics, Hardware, Software",,,,,,,,,,,,,
Discover Devices,https://www.crunchbase.com/organization/discover-devices,E-Commerce,"New York, New York, United States",Discover New Devices & Gadgets that you never thought existed.,"3,201,696","Greater New York Area, East Coast, Northeastern US",Active,2018-05-13,day,,,,,For Profit,https://discoverdevices.com,“Discover Devices” is a home to Gadgets & Devices you never thought existed. An Amazon affiliate website that brings you straight-forward reviews on New Helpful Products that you will discover mostly for the first time.,Commerce and Shopping,,11-50,,,,,,,,,,,
Sequrus,https://www.crunchbase.com/organization/sequrus,"Consulting, Risk Management, Security, Training","Orlando, Florida, United States","Sequrus provides risk mitigation, business process performance evaluation, training, litigation support, and security consulting services.","3,201,702","East Coast, Southern US",Active,,,,,,,For Profit,https://www.sequrus.com,,"Education, Privacy and Security, Professional Services",,,,,,,,,,,,,
Brand Door Champion,https://www.crunchbase.com/organization/brand-door-champion,"Analytics, Marketing, Software","Cambridge, Massachusetts, United States",Brand Door Champion is a provider of online marketing analytics,"3,201,705","Greater Boston Area, East Coast, New England",Active,2013-01-01,year,,,,,For Profit,http://www.doorchampion.com/,"Brand Door Champion is a Provider of online marketing analytics intended to serve the apartment rentals industry. The company's analytics help residents to find and search for homes based on the needs, budget and desired location of the users, as well as offers analytics on pricing trends for the property managers and owners, enabling customers to make profitable decisions.","Data and Analytics, Sales and Marketing, Software",,,,,,,,,,,,,
Wealth Accumulation Resources,https://www.crunchbase.com/organization/wealth-accumulation-resources,"Asset Management, Financial Services, Retirement","Plano, Texas, United States",Wealth Accumulation Resources brings to the market investments that are primarily used in the retirement market.,"3,201,706","Dallas/Fort Worth Metroplex, Southern US",Active,,,,,,,For Profit,http://wealthaccumulationresources.com/,"Wealth Accumulation Resources is a Registered Investment Advisory firm (CRD# 173853) that specializes in cash flow products and is committed to bringing to the market investments that are primarily used in the retirement market. These investment products are not in the securities market and are not subject to the roller coaster ride that Wall-street can cause. These investments are designed to give you a monthly income for so many months, and then return your complete original investment. Every investment has downside risk. We strive to minimize that risk as much as possible. We know that having a fixed monthly return gives the consumer peace of mind and allows them (or their family) to plan their future. Many people use these investments to subsidize their stay in a retirement village, while all the time preserving their estate for their heirs. These investments are not insurance products and are not sold through any security house or insurance company. The details about this investment are available on this site, and maybe suitable for: Individuals – People interested in above-average returns with income each month Institutional Investors – Above average safety, above-average returns Non-Profits – Major donors can put money in this investment and give away the returns for a tax deduction","Community and Lifestyle, Financial Services, Other",,,,,,,,,,,,,
Styrk,https://www.crunchbase.com/organization/styrk,"Advertising, Business Development, Marketing","Boulder, Colorado, United States",Styrk provides sustainable solutions to empower small businesses to reach their full potential.,"3,201,708","Greater Denver Area, Western US",Active,,,,,,,For Profit,https://styrk.weebly.com/,"Styrk is a business consulting firm that provides sustainable solutions to empower small businesses to reach their full potential. The company also provides advising services on topics such as marketing, strategy, organization, and finance.","Advertising, Professional Services, Sales and Marketing",,,,,,,,,,,,,
Acrylique Nail Spa,https://www.crunchbase.com/organization/acrylique-nail-spa-2,"Beauty, Scheduling","Glendale, California, United States",Full Service Nail Care.,"3,201,711","Greater Los Angeles Area, West Coast, Western US",Closed,2015-01-29,day,,,,none,For Profit,http://acrylique.salon/,"We are a young and thriving nail spa, equipped with full services such as gel manicures, acrylics, gel builder, nail art, pedicures, eyebrow services, facials, waxing, etc. The main goal, however, is ensuring that each and every customer leaves the salon a satisfied friend. Acrylique likes to go above and beyond the expectations of an average nail salon by providing unmatched customer service, a variety of alcoholic and non-alcoholic beverages that quenches everyone's ""thirst-buds"", convenience of scheduling appointments and being serviced at your appointment time, a customer loyalty rewards program that gives back to the customer...for we know that you have many choices of nail salons and we always want to show our appreciation for continuously choosing Acrylique as your preferred salon.","Consumer Goods, Information Technology, Software",,1-10,,,,,,,,,,,
Earthquake Map and Alerts,https://www.crunchbase.com/organization/earthquake-map-and-alerts,Mobile,"New York, New York, United States",Earthquake Map and Alerts is the developer behind this application. Earthquake Map and Alerts will let you know when the next tremor hits.,"3,201,714","Greater New York Area, East Coast, Northeastern US",Closed,,,,,2016-03-23,day,For Profit,,Earthquake Map and Alerts is the developer behind this application. Earthquake Map and Alerts will let you know when the next tremor hits.,Mobile,,251-500,,,,,,,,,,,
Nine UX,https://www.crunchbase.com/organization/nine-ux,"Information Technology, SaaS, Software, Web Design","San Francisco, California, United States","Technology, SaaS, User Experience","3,201,717","San Francisco Bay Area, West Coast, Western US",Active,2020-07-01,month,,,,,For Profit,https://www.nineux.com/,"Nine UX provides businesses with real user feedback to enhance user experience with the products or services. We used the human-centered methodology to help clients improve customer experience, boost operational performance, and build brand loyalty","Design, Information Technology, Software",,1-10,,,,,,,,,,,
Sign It,https://www.crunchbase.com/organization/sign-it-ba54,"Advertising, Graphic Design, Printing","Stuart, Florida, United States","Sign It is a commercial printing company providing banners, boat graphics, vehicle graphics, and wraps.","3,201,718","East Coast, Southern US",Active,1994-01-01,year,,,,,For Profit,https://signitinc.com,"Sign It designs and instals full or partial vehicle wraps, decals, perforated window vinyl, and magnets. Banners are durable for advertising their business. They can be done with any custom design, almost any size, and with reinforced edges and grommets.","Advertising, Content and Publishing, Design, Media and Entertainment, Sales and Marketing",,11-50,,,,,,,,,,,
Truck Insurance,https://www.crunchbase.com/organization/truck-insurance-da32,"Auto Insurance, Insurance, Service Industry","Greenwood, Indiana, United States",Truck Insurance offers clients the possible protection for all of their truck insurance needs.,"3,201,719","Great Lakes, Midwestern US",Active,,,,,,,For Profit,https://www.trkinsure.com/,,"Financial Services, Other",,,,,,,,,,,,,
Redcliff Midstream,https://www.crunchbase.com/organization/redcliff-midstream,"Energy, Oil and Gas","Houston, Texas, United States","Redcliff Midstream is a provider of gas gathering, treating, and processing services to producers.","3,201,722","Greater Houston Area, Southern US",Active,2017-01-01,year,2021-03-24,day,,,For Profit,,"Redcliff Midstream is a provider of gas gathering, treating, and processing services to producers.","Energy, Natural Resources",,,,M&A,,,,,,,,,
Microsoft Imagine Fund,https://www.crunchbase.com/organization/microsoft-imagine-fund,Finance,"Seattle, Washington, United States",The Microsoft Imagine Fund is a student startup fund and school.,"3,201,729","Greater Seattle Area, West Coast, Western US",Closed,,,,,,none,For Profit,http://microsoftimaginefund.com,"The Microsoft Imagine Fund is a student startup fund and school. They help US student entrepreneurs develop great ideas into successful startups and get them ready to the next level of funding.   Throughout the course of a 10 week startup training program, students will learn how to build a business around their technology with the support of seasoned entrepreneurs and Microsoft technical mentors. The program will be delivered as an immersive virtual student startup school, which will provide an interactive learning platform to guide them through product development, customer acquisition, investor strategies and pitching. In addition to the comprehensive training and mentorship, student teams will be granted seed funding, a social media marketing consultation and a pitch video production that will help to jump-start their startup.   By the end of the program, Microsoft Imagine Fund Startups will be perfectly positioned to find that next investor, build that next partnership or join a later stage accelerator.",Financial Services,,,,,,,,,,,,,
Paleofun,https://www.crunchbase.com/organization/paleofun,"Events, Travel","Cocoa Beach, Florida, United States",PaleoFun is a provider of innovative and cost-effective event management solutions related to traveling for educational and fun purposes.,"3,201,731","East Coast, Southern US",Active,2000-01-01,day,,,,,For Profit,https://www.paleofun.com/,,"Events, Media and Entertainment, Travel and Tourism",,1-10,,,,,,,,,,,
"Access Authority, Inc.",https://www.crunchbase.com/organization/access-authority-inc,Telecommunications,"Clearwater, Florida, United States",Access Authority is a telecommunications company based in Clearwater.,"3,201,734","Tampa Bay Area, East Coast, Southern US",Active,,,1998-09-01,day,,,For Profit,,"Access Authority Inc., a telecommunications company based in Clearwater. It provides an international telecommunications services and offer a broad range of discounted international and enhanced telecommunication services.",Hardware,,,,M&A,,,,,,,,,
Silvia Bueso,https://www.crunchbase.com/organization/silvia-bueso,"Consulting, Education","Spain, Georgia, United States","Silvia Bueso is a lecturer, trainer and coach, creator of 'The art of asking'.","3,201,744","East Coast, Southern US",Active,2016-01-01,year,,,,,For Profit,https://www.silviabueso.com,"Silvia Bueso is a lecturer, trainer and coach, creator of 'The art of asking', an infallible method to learn to “ask without asking” as a way to raise funds, communicate with a hook, attract and retain customers or to reinvent themselves professionally.","Education, Professional Services",1,1-10,,,,,,,,,,,
ETHC Digital,https://www.crunchbase.com/organization/ethc-digital,"Cloud Management, Consulting, CRM","Grand Rapids, Michigan, United States","ETHC Digital evaluates, designs, implements custom software, ERP, CRM, and software integration applications.","3,201,754","Great Lakes, Midwestern US",Active,1977-01-01,year,,,,,For Profit,https://ehtcdigital.com,"ETHC Digital is an implementer and supporter of microsoft dynamics ERP and CRM applications. Their consulting services include ERP, CRM, custom app development, and cloud services.","Information Technology, Internet Services, Professional Services, Sales and Marketing, Software",,1-10,,,,,,,,,,,
pcdigitech,https://www.crunchbase.com/organization/pcdigitech,"Computer, Information Technology, Internet","Severn, Maryland, United States","Pcdigitech is computer technical support company, offering services related to internet like pc optimization, application support etc","3,201,761","Greater Baltimore-Maryland Area, East Coast, Southern US",Closed,2014-03-06,day,,,,none,For Profit,http://www.pcdigitech.net/,,"Consumer Electronics, Hardware, Information Technology, Internet Services",,,,,,,,,,,,,
Our Castle Fund Advisors,https://www.crunchbase.com/organization/our-castle-fund-advisors,,"Pacific Palisades, California, United States",We are real estate investment firm that acquires non-performing mortgage pools and work with borrowers to help them stay in their homes. ,"3,201,766","Greater Los Angeles Area, West Coast, Western US",Closed,,,,,,none,For Profit,http://www.ocfundadvisors.com/,,,,,,,,,,,,,,,
Brandon and Tibbs,https://www.crunchbase.com/organization/brandon-and-tibbs,"Accounting, Consulting, Financial Services","Salinas, California, United States","Brandon and Tibbs specializes in accounting, consulting, taxation, audit, estate, payroll, investment analysis, debt and financing services.","3,201,769","West Coast, Western US",Active,1964-01-01,year,,,,,For Profit,http://www.brandon-tibbs.com/,,"Financial Services, Professional Services",,,,,,,,,,,,,
"Golden, Weise and Associates",https://www.crunchbase.com/organization/golden-weise-and-associates,"Consulting, Military, Training","Green Cove Springs, Florida, United States","GWA offers military ranges and targetry centers training, development, design, and consultation management tactics.","3,201,769","East Coast, Southern US",Active,1997-01-01,year,,,,,For Profit,https://www.gw-a.com,,"Education, Government and Military, Information Technology, Professional Services",,11-50,,,,,,,,,,,
QuickWWWeb,https://www.crunchbase.com/organization/quickwwweb,"Internet, Web Development, Web Hosting","Redmond, Washington, United States",QuickWWWeb provides web development and web hosting services.,"3,201,771","Greater Seattle Area, West Coast, Western US",Active,,,,,,,For Profit,http://www.quickwwweb.com/,,"Internet Services, Software",,,,,,,,,,,,,
Sino-Bridges Consulting,https://www.crunchbase.com/organization/sino-bridges-consulting,"Big Data, Cloud Computing, Consulting, IT Infrastructure","Wa Keeney, Kansas, United States",Sino-Bridges Consulting is a research and consulting company that specializes in the data center-related technologies field.,"3,201,773",Midwestern US,Closed,2006-01-01,year,,,,none,For Profit,https://sino-bridges.com,,"Data and Analytics, Information Technology, Internet Services, Professional Services, Software",1,101-250,,,,,,,,,,,
New England DI Center,https://www.crunchbase.com/organization/new-england-di-center,"Financial Services, Health Insurance, Insurance, Life Insurance","Centerville, Utah, United States",New England DI Center is a brokerage general agency that specializes in Disability Insurance products.,"3,201,775",Western US,Active,,,,,,,For Profit,https://www.nedicenter.com/,,Financial Services,,11-50,,,,,,,,,,,
Mwm Tax,https://www.crunchbase.com/organization/mwm-tax,"Accounting, Consulting, Financial Services","Lancaster, South Carolina, United States","Mwm Tax specializes in ​income tax filing, electronic tax filing, tax preparation, start-up assistance, ​and tax planning services.","3,201,785","East Coast, Southern US",Active,2016-01-01,year,,,,,For Profit,https://www.mwmtax.com,,"Financial Services, Professional Services",,1-10,,,,,,,,,,,
Renovar Stem Cell,https://www.crunchbase.com/organization/renovar-stem-cell,"Biotechnology, Fitness, Health Care, Lifestyle","Boca Raton, Florida, United States","Renovar Stem Cell employs modern, state-of-the-art technologies and practices a patient-first mentality.","3,201,788","Greater Miami Area, East Coast, Southern US",Closed,,,,,,none,For Profit,https://renovarstemcell.com/,"Renovar Stem Cell employs modern, state-of-the-art technologies and practices a patient-first mentality. They evaluate every aspect of your health, wellness and lifestyle to personalize a Stem Cell Therapy plan that maximizes your health benefits, and works flawlessly with your lifestyle.","Biotechnology, Community and Lifestyle, Health Care, Science and Engineering, Sports",,,,,,,,,,,,,
Dubois Strong,https://www.crunchbase.com/organization/dubois-strong,"Communities, Service Industry, Social","Jasper, Indiana, United States","Dubois Strong is a county-wide, collaborative, public-private partnership that maximizes community resources and assets.","3,201,789","Great Lakes, Midwestern US",Active,,,,,,,For Profit,https://duboisstrong.com,,"Community and Lifestyle, Other",,,,,,,,,,,,,
PrideRock Holding Company,https://www.crunchbase.com/organization/priderock-holding-company,"Application Performance Management, Biometrics, Software","Atlanta, Georgia, United States",PrideRock Holding Company is a Developer of bio-metrics technology,"3,201,791","Greater Atlanta Area, East Coast, Southern US",Closed,1995-01-01,year,,,,none,For Profit,http://www.priderockholdings.com/,"Developer of bio-metrics technology designed to provide outsourced fingerprint and data management services. The company's products include secured automated fingerprint enrollment system, livescan system, in-house card scanning system and outsourced fingerprint network, enabling customers to scan ink cards and submit fingerprints electronically for background checks and licensing.","Biotechnology, Data and Analytics, Science and Engineering, Software",1,10001+,,,,,,,,,,,
Steel Building Canada,https://www.crunchbase.com/organization/steel-building-canada,,"Ontario, California, United States",Canada's first truly online source for quality pre-engineered steel buildings,"3,201,793","Greater Los Angeles Area, Inland Empire, West Coast",Active,,,,,,,For Profit,https://www.steelbuildingcanada.com/,Steel Building Canada is Canada's preferred manufacturer of pre-engineered steel buildings suitable for a wide variety of industries & applications. Call or visit us online today for more information.,,,,,,,,,,,,,,
Oregon Interventional Pain Consultants,https://www.crunchbase.com/organization/oregon-interventional-pain-consultants,"Consulting, Health Care, Medical, Therapeutics","Portland, Oregon, United States",Oregon Interventional Pain Consultants is a service pain clinic provides individualized care.,"3,201,795","West Coast, Western US",Active,,,,,,,For Profit,https://oripc.com,"Oregon Interventional Pain Consultants offers pain management services that provide individualized care. Their pain management services include a variety of approaches to treatment. Their therapies include both non-pharmacologic and pharmacologic approaches. They offer therapies such as nerve blocks, epidural injections, and other diagnostic and therapeutic injections. They also offer interventional pain management therapies including spinal cord stimulation and spinal infusion therapy for the control of both pain and spasticity.","Health Care, Professional Services",,11-50,,,,,,,,,,,
Silent Way,https://www.crunchbase.com/organization/silent-way,Audio,"San Francisco, California, United States",Silent Way Media Asset Management and Remote Audio Recording.,"3,201,806","San Francisco Bay Area, West Coast, Western US",Active,1993-01-01,year,,,,,For Profit,http://www.silentway.com,,"Media and Entertainment, Music and Audio",1,1-10,,,,,,,,,,,
Square One Politics,https://www.crunchbase.com/organization/square-one-politics,Non Profit,"Brooklyn, New York, United States",Square One Politics is a non profit organization.,"3,201,810","Greater New York Area, East Coast, Northeastern US",Active,2017-01-01,year,,,,,,https://www.squareonepolitics.org,,"Other, Social Impact",1,1-10,,,,,,,,,,,
Miller Creek at Germantown,https://www.crunchbase.com/organization/miller-creek-at-germantown,"Real Estate, Rental, Residential","Memphis, Tennessee, United States",Miller Creek at Germantown provides apartment rental services.,"3,201,813",Southern US,Active,,,,,,,For Profit,https://www.millercreekapts.com,"Miller Creek at Germantown provides the lively neighborhood, floor plans, and amenities that they seek. The apartment homes have floor plans ranging from one to three bedrooms. They have a lot of desirable features and amenities. They have 9-foot ceilings, stainless steel appliances, granite countertops with tiled backsplash, size washers and dryers, spacious walk-in closets, and pool views.","Commerce and Shopping, Real Estate",,,,,,,,,,,,,
mentor118,https://www.crunchbase.com/organization/mentor118,"Communities, Education, Health Care","Brighton, Massachusetts, United States",mentor118 - mentor118 provides people helping people achieve more.,"3,201,813","Greater Boston Area, East Coast, New England",Closed,2011-10-01,day,,,,none,For Profit,http://www.mentor118.com,,"Community and Lifestyle, Education, Health Care",,1-10,,,,,,,,,,,
Estate Planning & Probate Lawyer Manhattan,https://www.crunchbase.com/organization/estate-planning-probate-lawyer-manhattan,,"New York, New York, United States","217 E 3rd St ,10009","3,201,827","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,For Profit,http://newyorkprobatelawyers.com,"When it comes time to start planning your estate or thinking about how to protect your assets now and after you’re gone, you need a trusted partner on your side that can ensure you are making the best strategic decisions for you.  Estate laws are riddled with penalties and fees that can emerge if you don’t know what you are doing, so having an experienced legal partner to make sure you minimize losses and maximize gains can be an essential weapon for any smart property owner. We have worked with hundreds of individuals all over Brooklyn who are now living comfortably knowing their assets are protected — now we want to do the same for you. If you would like to schedule a FREE consultation, call us today. Our firm has been rated among the top law firms for years and we are proud to uphold the level of service that have helped us win that distinction. We work hard to ensure that you receive the answers you need fast and get results immediately. Simply put, we give you the advice you need today and help you act on it tomorrow.",,,,,,,,,,,,,,
Grade Success,https://www.crunchbase.com/organization/grade-success,Education,"Armonk, New York, United States","Grade Success is a Private & Group Tutoring for ALL Subjects, In-Person or Live Online Certified Staff, Professional Teachers.","3,201,829","Greater New York Area, East Coast, Northeastern US",Active,1995-01-01,year,,,,,For Profit,https://gradesuccess.com/,"Grade Success is a Private & Group Tutoring for ALL Subjects, In-Person or Live Online Certified Staff, Professional Teachers , College Counselors and Educational Consultants.",Education,,11-50,,,,,,,,,,,
RippleLocal,https://www.crunchbase.com/organization/ripplelocal,"Local, Marketing Automation, Search Engine","Camden, New Jersey, United States",An affordable small business solution that helps small businesses get locally traffic and local leads to their website.,"3,201,833","Greater Philadelphia Area, East Coast, Northeastern US",Active,2015-01-01,day,,,,,For Profit,http://ripplelocal.com,,"Internet Services, Sales and Marketing, Software",,1-10,,,,,,,,,,,
Pople Solutions,https://www.crunchbase.com/organization/pople-solutions,"Consulting, Data Visualization, Information Technology, Software","Wexford, Pennsylvania, United States","Pople Solutions provides system integration, software development, data visualization, server administration, and database design.","3,201,836","Great Lakes, Northeastern US",Active,2016-01-01,year,,,,,For Profit,https://pople.com/,,"Data and Analytics, Design, Information Technology, Professional Services, Software",,1-10,,,,,,,,,,,
Emugu Corporation,https://www.crunchbase.com/organization/emugu-corporation,Communities,"Los Altos, California, United States",The emotion-based social network for a more socially responsible and connected community.,"3,201,840","San Francisco Bay Area, Silicon Valley, West Coast",Closed,2014-09-24,day,,,,none,For Profit,http://www.emugu.com,,Community and Lifestyle,,1-10,,,,,,,,,,,
OneClickMeet,https://www.crunchbase.com/organization/oneclickmeet,"Audio, Messaging, Service Industry, Video","Philadelphia, Pennsylvania, United States",OneClickMeet is a cloud-based service that provides video/audio calls and chat for registered users on a customer's website.,"3,201,841","Greater Philadelphia Area, Great Lakes, Northeastern US",Closed,2014-01-01,year,,,,none,For Profit,https://oneclickmeet.com/,,"Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Music and Audio, Other, Video",,11-50,,,,,,,,,,,
Next Door Chores,https://www.crunchbase.com/organization/next-door-chores,"Communities, Internet, Internet of Things, Lifestyle","Sterling, Virginia, United States",Next Door Chores is a localized help marketplace where people search their communities for skills and services.,"3,201,852","Washington DC Metro Area, East Coast, Southern US",Closed,,,,,,none,For Profit,https://nextdoorchores.com/,,"Community and Lifestyle, Internet Services",,1-10,,,,,,,,,,,
Noel Taylor Agency Financial Services,https://www.crunchbase.com/organization/noel-taylor-agency-financial-services,"Financial Services, Life Insurance, Personal Finance, Wealth Management","North Myrtle Beach, South Carolina, United States",Noel Taylor Agency Financial Services provides wealth management services.,"3,201,853","East Coast, Southern US",Active,1995-01-01,year,,,,,For Profit,https://www.noeltayloragency.com,"Noel Taylor Agency Financial Services provides income planning, wealth management, asset preservation, tax strategies, legacy planning, annuities, life insurance, and long-term care services.",Financial Services,,1-10,,,,,,,,,,,
Ngineerx,https://www.crunchbase.com/organization/ngineerx,"Consulting, Internet, Software","Chatham, New Jersey, United States","Smartest Engineers from the developing world to build scalable, fault-tolerant, cutting-edge technological systems for tech startups.","3,201,854","Greater New York Area, East Coast, Northeastern US",Closed,2018-06-09,day,,,2019-04-04,day,For Profit,https://www.ngineerx.com,"Ngineerx handpicks top software engineering talent from the developing parts of the world, and further trains them in niche areas to prototype, design and build scalable, fault-tolerant, cutting-edge technological systems for startups. Whether you are an entrepreneur with a solid business plan but no technical background, or a team of hackers building the next big thing in your garage, or a well-funded startup looking to bring in high-performing teams or solo engineers to bring your vision to life - we have your back.","Internet Services, Professional Services, Software",3,1-10,,,,,,,,,,,
